Pais_traduzido,cod_pais,pib_dolar_2012,pib_dolar_2016,pop_total_2012,pop_total_2016,gastos_edu_pib_perc_2012,gastos_edu_pib_perc_2016
Cazaquistão,KAZ,207998568865.789,137278320084.171,17306106.0,18363600.0,3.90163707733154,3.56325101852417
Quênia,KEN,56396704671.5777,74815144163.8931,43888303.0,48139687.0,4.93121004104614,4.66556310653687
Quiribati,KIR,207001557.767135,206467834.045145,112284.0,118478.0,13.4276657104492,13.4829998016357
Quirguistão,KGZ,6605142884.36215,6813095379.1187,5652076.0,6175337.5,7.38422012329102,6.58615016937256
Letônia,LVA,27116149948.6683,27117105059.5075,2034319.0,1959537.0,6.58270978927612,4.65749979019165
Líbano,LBN,44016799515.7546,51147308774.1294,5235742.0,6323060.0,2.14902997016907,2.12633323669434
Lesoto,LSO,2477702216.26888,2114426452.2019,2034354.0,2130422.0,7.67000007629395,7.55247402191162
Libéria,LBR,2791614000.0,3398419600.0,4373043.0,4755608.0,1.77711999416351,2.11479687690735
Lituânia,LTU,42709372066.8627,42970749245.0336,2987773.0,2868231.0,4.75802993774414,4.004310131073
Luxemburgo,LUX,59776383527.3602,62216885435.9488,530946.0,582014.0,3.87815999984741,4.46611595153809
Madagascar,MDG,11578975061.9479,11848613858.442,23462438.0,26099952.0,2.46357321739197,2.69792056083679
Malaui,MWI,8773203178.16512,7909868618.46366,15709577.0,17557739.0,2.52861189842224,3.24413061141968
Malásia,MYS,314443047642.111,301256033870.334,29662831.0,31789685.0,5.73902988433838,4.34598445892334
Maldivas,MDV,2886163997.20531,4409942623.85538,386818.0,443308.0,4.96826791763306,4.43873596191406
Mali,MLI,12442035339.1049,14026048335.7047,16957033.0,19191289.0,3.47949004173279,3.09477996826172
Malta,MLT,9609532088.88683,12025782834.3596,420028.0,455356.0,6.34545993804932,5.10765981674194
Mauritânia,MRT,6728208836.22143,6398747592.13185,3619034.0,4086657.0,2.15821003913879,1.94405996799469
Maurício,MUS,11668696396.7887,12594155464.4136,1255882.0,1263747.0,3.41820001602173,4.88207006454468
México,MEX,1255110424817.79,1112233497452.7,116818208.0,122251351.0,4.88348007202148,4.75795984268188
Moldávia,MDA,8709138634.82921,7980917075.7748,2860324.0,2803186.0,6.98338985443115,5.67208003997803
Mônaco,MCO,5742749294.00852,6471290793.55029,34711.0,37276.0,1.78004002571106,1.37246000766754
Mongólia,MNG,12292770631.565,11181350649.3573,2839705.0,3088856.0,5.96198511123657,5.20043277740479
Marrocos,MAR,106937392311.129,111572947004.917,33355241.0,35023457.0,5.55294847488403,5.08530187606812
Moçambique,MOZ,16688114144.0745,12069051237.1711,24337846.0,27337105.0,5.5575098991394,5.80086994171143
Mianmar (Birmânia),MMR,59937796648.2158,63298361996.2153,49837446.0,51495696.0,1.58642876148224,2.15808844566345
Namíbia,NAM,13042053591.6857,10722018732.0936,2194654.0,2439213.0,9.24281215667725,10.592794418335
Nepal,NPL,21703100877.1309,24524109483.5293,27534915.0,27955462.0,3.52898859977722,3.47711229324341
Países Baixos,NLD,845689017065.625,797163949289.885,16754962.0,17030314.0,5.4102201461792,5.47959995269775
Nova Zelândia,NZL,176210710655.208,188898209220.167,4408100.0,4714100.0,6.53085327148438,5.50559997558594
Nigéria,NER,9426912647.59111,10398861981.7583,17836769.0,20685753.0,3.1868200302124,2.95843005180359
Nigéria,NGA,463971018239.281,404649125252.16,176200625.0,195443700.0,0.549233078956604,0.393045634031296
Noruega,NOR,512777309840.997,370956547619.048,5018573.0,5234519.0,7.32766008377075,7.98444986343384
Paquistão,PAK,250106966104.704,313630000130.435,207667125.0,220138869.0,1.97879004478455,2.41721177101135
Paraguai,PRY,33271921136.315,36089700222.9461,5897008.0,6249126.0,3.668790102005,3.4349799156189
Peru,PER,192650021648.583,191898104390.379,29550366.0,30866494.0,2.92276000976562,3.81316995620728
Polônia,POL,498148649702.66,473259583969.643,38063164.0,37970087.0,4.86159992218018,4.6591100692749
Portugal,PRT,216536676771.973,206305431241.638,10514844.0,10325452.0,4.94940996170044,4.7709059715271
Romênia,ROU,179117323107.087,185290759248.844,20058035.0,19702267.0,2.82322001457214,3.02559995651245
Rússia,RUS,2208293553878.42,1276786350881.14,143378447.0,145015460.0,3.79310011863708,3.76044011116028
Ruanda,RWA,7654761573.54991,8695272300.91019,10829901.0,11919183.0,4.42103004455566,3.43483996391296
Samoa,WSM,773141661.165548,843924796.697421,196498.0,203499.0,4.89170742034912,4.34968376159668
São Tomé e Príncipe,STP,229371348.202606,292267272.196925,189439.0,203689.0,6.92846012115479,6.11515998840332
