Pais_traduzido,cod_pais,pib_dolar_2012,pib_dolar_2016,pop_total_2012,pop_total_2016,gastos_edu_pib_perc_2012,gastos_edu_pib_perc_2016
Togo,TGO,5413544658.41535,6071170959.12093,7100736.0,7858289.0,3.37651991844177,3.6624801158905
Trinidad e Tobago,TTO,27334568806.1922,23722678429.8078,1335194.0,1353895.0,3.6819269657135,4.17230987548828
Turquia,TUR,880555885492.269,869682881593.041,75175827.0,79277962.0,4.38721990585327,4.62773990631104
Ilhas Turcas e Caicos,TCA,727161000.0,1032452000.0,32127.0,38315.0,2.69146537780762,2.90744566917419
Uganda,UGA,27305915910.7877,29203988696.2626,34337438.0,38799152.0,1.79746997356415,2.13789010047913
Ucrânia,UKR,182591753827.949,93355869403.9223,46210056.0,45616832.0,6.44269990921021,5.00977993011475
Reino Unido,GBR,2707089726614.64,2689106566899.61,63700215.0,65611593.0,5.57887411117554,5.42795991897583
Estados Unidos,USA,16253970000000.0,18804913000000.0,313877662.0,323071755.0,6.25388622283936,4.78327989578247
Uruguai,URY,54232266358.7811,57480788390.2581,3335401.0,3379283.0,4.09353351593018,4.36420011520386
Uzbequistão,UZB,67517349212.0609,86138288644.171,29261903.0,31284568.0,6.02691507339478,5.41523742675781
Vietnã,VNM,195590661129.249,257096001177.982,89510356.0,94000117.0,4.40817022323608,3.469074010849
Zâmbia,ZMB,25503060420.026,20958412538.3093,14913629.0,16914423.0,3.69500231742859,3.74792003631592
