Pais_traduzido,Ano,num_atletas_unicos,idade_media,num_eventos,porcentagem_feminino,hhi_esportes,pct_jovens_menor_23,pib_dolar,pop_total,gastos_edu_pib_perc,pontuacao_total
Brunei,2016,3,23.0,3,33.33333333333333,0.5555555555555556,33.33333333333333,11.4002660553232,0.427564,4.42540979385376,0.0
Bulgária,2012,63,26.285714285714285,56,41.269841269841265,0.10355253212396069,28.57142857142857,54.288135058792605,7.305888,3.47650003433228,3.0
Bulgária,2016,51,25.568627450980394,51,43.13725490196079,0.12802768166089962,27.450980392156865,53.964253211839996,7.127822,3.39370822906494,4.0
Burundi,2012,5,22.6,5,60.0,0.52,40.0,2.33334133445753,10.071028,6.03472852706909,0.0
Burundi,2016,9,24.444444444444443,9,44.44444444444444,0.5061728395061729,22.22222222222222,2.64448777650077,11.239451,4.96585083007812,2.0
Bélgica,2012,111,27.243243243243242,71,37.83783783783784,0.14698482266049834,27.027027027027028,498.414364944961,11.106932,6.25576496124268,4.0
Bélgica,2016,104,26.16346153846154,74,32.69230769230769,0.1142751479289941,18.269230769230766,474.271566739729,11.331422,6.46173000335693,12.0
Camarões,2012,31,24.096774193548388,15,70.96774193548387,0.33402705515088443,38.70967741935484,30.1550623292821,20.809529,2.60306000709534,0.0
Camarões,2016,22,26.636363636363637,13,77.27272727272727,0.2768595041322313,9.090909090909092,33.8143370443765,23.454161,2.56234002113342,0.0
Camboja,2012,6,22.5,6,50.0,0.2777777777777778,66.66666666666666,17.8265366998016,14.945085,1.41441452503204,0.0
Camboja,2016,6,29.5,6,66.66666666666666,0.2777777777777778,50.0,26.5565451533573,15.852803,1.87081909179688,0.0
Canadá,2012,273,26.560439560439562,179,56.41025641025641,0.0714486978223242,24.90842490842491,1828.3664815216,34.713395,4.69258737564087,25.0
Canadá,2016,308,26.525974025974026,174,59.41558441558441,0.07743717321639403,19.805194805194805,1527.99474190743,36.110803,4.81642007827759,33.0
Cazaquistão,2012,104,25.85576923076923,95,32.69230769230769,0.11131656804733729,23.076923076923077,207.998568865789,17.306106,3.90163707733154,27.0
Cazaquistão,2016,101,25.574257425742573,98,45.54455445544555,0.1114596608175669,27.722772277227726,137.278320084171,18.3636,3.56325101852417,29.0
Chade,2012,2,18.0,2,100.0,0.5,100.0,12.367362757134199,13.210998,2.20615005493164,0.0
Chade,2016,2,23.5,2,50.0,1.0,50.0,10.0977780981707,15.114655,2.38847589492798,0.0
China,2012,365,24.293150684931508,206,56.71232876712329,0.06126855214618662,29.315068493150687,8532.18538168059,1354.19,4.29788875579834,191.0
China,2016,390,24.42051282051282,209,61.53846153846154,0.05514629321116202,32.30769230769231,11233.3137303487,1387.79,4.20638513565063,140.0
Chipre,2012,13,25.76923076923077,12,30.76923076923077,0.19526627218934917,23.076923076923077,25.0474369746819,1.165397,5.89526700973511,2.0
Chipre,2016,15,26.466666666666665,19,40.0,0.27999999999999997,26.666666666666668,21.0464622805979,1.237112,6.11811017990112,0.0
Costa Rica,2012,11,26.181818181818183,11,27.27272727272727,0.2231404958677686,18.181818181818183,47.2316554317355,4.663934,6.58239984512329,0.0
Costa Rica,2016,10,28.1,10,40.0,0.20000000000000004,10.0,58.8470196096549,4.866998,6.89395999908447,0.0
Costa do Marfim,2012,9,23.666666666666668,10,55.55555555555556,0.20987654320987653,44.44444444444444,36.3023028772977,23.467078,3.4344699382782,0.0
Costa do Marfim,2016,11,25.545454545454547,11,54.54545454545454,0.2231404958677686,36.36363636363637,48.4077610368238,25.989405,3.93593001365662,4.0
Croácia,2012,104,27.240384615384617,52,40.38461538461539,0.13147189349112426,9.615384615384617,57.5519637532104,4.260368,5.22161388397217,13.0
Croácia,2016,85,27.31764705882353,47,22.35294117647059,0.10145328719723185,17.647058823529413,52.6548556381057,4.106867,4.89622449874878,23.0
Cuba,2012,79,25.924050632911392,68,34.177215189873415,0.23377663835923723,25.31645569620253,73.141,11.303175,11.5516605377197,27.0
Cuba,2016,117,24.974358974358974,99,29.059829059829063,0.14223098838483453,31.62393162393162,91.3704078637,11.265612,9.01313304901123,23.0
Dinamarca,2012,113,27.84070796460177,68,42.47787610619469,0.11911661054115436,18.58407079646018,326.792574244963,5.591572,7.23782014846802,17.0
Dinamarca,2016,119,26.54621848739496,67,34.45378151260504,0.09653273073935456,27.73109243697479,312.181849372233,5.72801,7.69106006622314,25.0
Djibuti,2012,2,21.0,2,50.0,1.0,50.0,1.3536329415207,0.966747,6.35127544403076,0.0
Djibuti,2016,7,21.714285714285715,7,14.285714285714285,0.5510204081632654,71.42857142857143,2.60495522870117,1.037653,3.92226004600525,0.0
Dominica,2012,2,21.5,2,50.0,1.0,50.0,0.485996296296296,0.069118,4.39310455322266,0.0
Dominica,2016,2,25.0,2,50.0,1.0,50.0,0.57622962962963,0.069606,5.12971973419189,0.0
El Salvador,2012,10,23.2,11,50.0,0.16000000000000006,40.0,21.38615,6.113975,3.7124400138855,0.0
El Salvador,2016,6,24.5,6,33.33333333333333,0.22222222222222227,33.33333333333333,24.19143,6.2008,3.82523989677429,0.0
Equador,2012,36,24.97222222222222,34,36.11111111111111,0.19753086419753088,36.11111111111111,87.735048,15.572194,4.65310001373291,0.0
Equador,2016,36,27.86111111111111,28,41.66666666666667,0.23302469135802467,13.88888888888889,97.671433,16.505139,4.36274814605713,0.0
